# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 07:22:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmphdnny5/standata-f8a620b8d9d7.json
# init = 2 (Default)
# random
#   seed = 2129199876
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607240922-2-366fc2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607240922-2-1de711.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.791877
# Diagonal elements of inverse mass matrix:
# 1.68081, 14.2866, 0.00390559
-804.32187,0.91512592,0.79187702,3,7,0,805.06418,10.813883,303.2956,49.753849,-14.816854,254.63313
-806.12423,0.88101292,0.79187702,2,7,0,806.17109,13.005254,303.13189,45.465628,-14.760035,244.60825
-806.42928,0.84852919,0.79187702,3,7,0,809.01902,12.835849,308.96405,47.212251,-14.796063,251.20274
-806.73196,0.79352508,0.79187702,2,3,0,809.68304,9.6878132,306.56762,43.004132,-14.670648,262.97246
-805.97653,0.98675886,0.79187702,3,7,0,807.56614,10.609051,299.21746,52.89696,-14.876766,251.47673
-804.25386,0.98463978,0.79187702,3,7,0,806.23846,10.211586,302.80455,46.927358,-14.753139,256.85241
-804.95155,0.85133777,0.79187702,2,3,0,805.89519,10.206066,308.16203,49.100381,-14.799475,262.23474
-804.67964,0.9739918,0.79187702,2,7,0,805.60288,10.284145,304.48845,50.802962,-14.832092,258.20979
-804.65611,0.99211187,0.79187702,3,7,0,805.20013,10.092081,304.61423,45.568226,-14.72528,259.19987
-804.89744,0.95975584,0.79187702,3,7,0,805.45841,9.5350869,304.7869,45.768194,-14.723287,261.879
-805.04914,0.99186025,0.79187702,3,7,0,805.55776,9.7891191,305.73011,51.083721,-14.832821,261.67907
-804.5875,0.97499378,0.79187702,3,7,0,805.88506,11.536169,306.43595,47.871324,-14.7897,254.52319
-805.07982,0.92856857,0.79187702,2,3,0,805.83986,9.1554121,300.83609,46.922226,-14.741315,259.63673
-805.16712,0.9023688,0.79187702,3,7,0,806.55125,12.488583,305.66051,47.406611,-14.792649,249.46189
