# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_f6d203da4b4be6518c3b213b4e726920_model
# start_datetime = 2026-07-24 07:15:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa7b7a06d7.json
# init = 2 (Default)
# random
#   seed = 20260720
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-202607240915-3-8a8c58.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_f6d203da4b4be6518c3b213b4e726920-profile-202607240915-3-9005a6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_f6d203da4b4be6518c3b213b4e726920_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,sd_1.1,sd_1.2,z_1.1.1,z_1.2.1,z_1.1.2,z_1.2.2,z_1.1.3,z_1.2.3,z_1.1.4,z_1.2.4,z_1.1.5,z_1.2.5,z_1.1.6,z_1.2.6,z_1.1.7,z_1.2.7,z_1.1.8,z_1.2.8,z_1.1.9,z_1.2.9,z_1.1.10,z_1.2.10,z_1.1.11,z_1.2.11,z_1.1.12,z_1.2.12,z_1.1.13,z_1.2.13,z_1.1.14,z_1.2.14,z_1.1.15,z_1.2.15,z_1.1.16,z_1.2.16,z_1.1.17,z_1.2.17,z_1.1.18,z_1.2.18,L_1.1.1,L_1.2.1,L_1.1.2,L_1.2.2,r_1.1.1,r_1.2.1,r_1.3.1,r_1.4.1,r_1.5.1,r_1.6.1,r_1.7.1,r_1.8.1,r_1.9.1,r_1.10.1,r_1.11.1,r_1.12.1,r_1.13.1,r_1.14.1,r_1.15.1,r_1.16.1,r_1.17.1,r_1.18.1,r_1.1.2,r_1.2.2,r_1.3.2,r_1.4.2,r_1.5.2,r_1.6.2,r_1.7.2,r_1.8.2,r_1.9.2,r_1.10.2,r_1.11.2,r_1.12.2,r_1.13.2,r_1.14.2,r_1.15.2,r_1.16.2,r_1.17.2,r_1.18.2,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,r_1_1.10,r_1_1.11,r_1_1.12,r_1_1.13,r_1_1.14,r_1_1.15,r_1_1.16,r_1_1.17,r_1_1.18,r_1_2.1,r_1_2.2,r_1_2.3,r_1_2.4,r_1_2.5,r_1_2.6,r_1_2.7,r_1_2.8,r_1_2.9,r_1_2.10,r_1_2.11,r_1_2.12,r_1_2.13,r_1_2.14,r_1_2.15,r_1_2.16,r_1_2.17,r_1_2.18,lprior,b_Intercept,Cor_1.1.1,Cor_1.2.1,Cor_1.1.2,Cor_1.2.2,cor_1.1
# Adaptation terminated
# Step size = 0.094803
# Diagonal elements of inverse mass matrix:
# 3.15286, 90.2386, 0.00403373, 0.0645565, 0.0470914, 0.283164, 0.261651, 0.293966, 0.350917, 0.295624, 0.334711, 0.313896, 0.285442, 0.250927, 0.253374, 0.300456, 0.247415, 0.28276, 0.222764, 0.24899, 0.224784, 0.309035, 0.314821, 0.343908, 0.326609, 0.266363, 0.229673, 0.302857, 0.237144, 0.267897, 0.216916, 0.287008, 0.261235, 0.301233, 0.24852, 0.282256, 0.243061, 0.269543, 0.236247, 0.285552, 0.233225, 0.0740289
-907.37986,0.99310437,0.094803007,6,63,0,921.45272,9.6549068,302.16936,27.199259,31.886496,5.681166,-0.79996712,2.7826709,-1.2153591,-1.4903985,-1.3975978,0.11873137,0.19309913,-0.58585274,0.084187405,0.039723219,0.97150956,-1.0724303,0.64564187,-0.15154541,0.27415904,-0.14569252,-0.62311728,-1.2336211,0.98156923,1.7338106,-0.31752148,0.024815187,-0.83768649,1.4031943,0.080845795,-0.69351158,0.29298241,0.50457717,-0.41049767,0.81935695,-0.6375587,0.89993958,0.17072981,0.10295129,-0.1483569,0.75644969,1,0.39880575,0,0.91703543,-25.508149,-38.753543,-44.564497,6.1572549,2.6844414,30.978036,20.587257,8.7419713,-19.869027,31.298804,-10.124648,-26.710887,2.5778891,9.3421824,-13.089333,-20.329513,5.4439756,-4.7305817,12.684773,-10.51834,-2.5479413,-2.6146923,0.3976931,-3.3860486,0.67329306,-0.13787621,-7.8387424,11.256783,-0.59011969,5.4124737,-3.4299069,3.2925664,3.3386538,3.2440276,0.92317819,3.6048451,-25.508149,-38.753543,-44.564497,6.1572549,2.6844414,30.978036,20.587257,8.7419713,-19.869027,31.298804,-10.124648,-26.710887,2.5778891,9.3421824,-13.089333,-20.329513,5.4439756,-4.7305817,12.684773,-10.51834,-2.5479413,-2.6146923,0.3976931,-3.3860486,0.67329306,-0.13787621,-7.8387424,11.256783,-0.59011969,5.4124737,-3.4299069,3.2925664,3.3386538,3.2440276,0.92317819,3.6048451,-23.388575,258.72228,1,0.39880575,0.39880575,1,0.39880575
-907.78825,0.92370179,0.094803007,5,31,0,932.89526,6.1675554,293.89434,25.54988,35.41336,9.1159041,-0.39143037,0.97277616,-1.0122277,-1.3513062,-1.8528563,-0.39391234,0.81410674,-0.50116451,0.57798115,0.23131382,-5.6793162e-05,0.66426124,-0.01228536,0.68489825,-0.59146663,0.69704104,0.32882534,-1.3109821,1.3395627,1.5971195,-1.472633,0.70367572,-0.64298906,0.72894456,-0.18314455,-0.28534083,0.72119974,0.51321667,0.71168528,0.048411352,-1.2851582,0.66514023,-0.43935583,0.31140221,0.3425791,0.44121,1,-0.35218353,0,0.93593096,-13.861865,-35.846384,-65.615869,28.830255,20.468255,-0.0020112367,-0.43506589,-20.945821,11.64481,47.438418,-52.150882,-22.770403,-6.4857639,25.540106,25.203167,-45.511771,-15.559066,12.131877,9.556263,-8.2794234,2.5877384,-6.8895302,0.1179445,5.6675642,5.8828956,7.8459411,-12.240796,9.3257676,10.731506,8.2835486,-1.8465068,2.0633001,-1.8718065,9.8008448,4.0673783,2.6645002,-13.861865,-35.846384,-65.615869,28.830255,20.468255,-0.0020112367,-0.43506589,-20.945821,11.64481,47.438418,-52.150882,-22.770403,-6.4857639,25.540106,25.203167,-45.511771,-15.559066,12.131877,9.556263,-8.2794234,2.5877384,-6.8895302,0.1179445,5.6675642,5.8828956,7.8459411,-12.240796,9.3257676,10.731506,8.2835486,-1.8465068,2.0633001,-1.8718065,9.8008448,4.0673783,2.6645002,-23.425002,266.14034,1,-0.35218353,-0.35218353,1,-0.35218353
-908.97332,0.92483081,0.094803007,6,63,0,930.26852,11.302465,300.45583,27.459763,22.436714,4.8319504,0.51151438,1.9218783,-2.0169668,-1.8318468,-1.2359515,-1.9508609,0.88890538,-0.59208039,0.60487044,-0.7392765,1.1636187,-0.17170263,1.0835285,-0.26775759,0.25063613,-0.11211718,-0.52728236,-1.7113079,1.0671515,2.4088456,-0.34461259,-0.21035131,-0.81337457,1.302789,-0.10519006,-0.73115946,0.39850135,1.0376997,-0.67252245,0.95230028,-0.99084759,0.71972921,0.47243471,-0.57092711,0.70618484,0.32760699,1,0.070089366,0,0.99754072,11.476702,-45.254106,-27.730691,19.944115,13.571305,26.10778,24.310819,5.623451,-11.830483,23.943373,-7.7319739,-18.249452,-2.3601192,8.9410607,-15.089194,-22.231364,10.599882,15.844467,9.4368165,-9.5127078,-9.8218583,-2.5528232,-3.358512,-0.43353742,-0.92365279,-0.45552983,-8.4271931,11.972208,-1.1306168,6.0040666,-3.5598623,5.1367422,4.3623894,3.1335745,-2.5919084,1.8182502,11.476702,-45.254106,-27.730691,19.944115,13.571305,26.10778,24.310819,5.623451,-11.830483,23.943373,-7.7319739,-18.249452,-2.3601192,8.9410607,-15.089194,-22.231364,10.599882,15.844467,9.4368165,-9.5127078,-9.8218583,-2.5528232,-3.358512,-0.43353742,-0.92365279,-0.45552983,-8.4271931,11.972208,-1.1306168,6.0040666,-3.5598623,5.1367422,4.3623894,3.1335745,-2.5919084,1.8182502,-23.038469,249.59474,1,0.070089366,0.070089366,1,0.070089366
-906.6822,0.98653626,0.094803007,5,63,0,930.54401,8.5462055,282.82918,26.132595,31.942847,4.9059296,0.35441062,1.9866133,-0.8582685,-1.6739418,-1.6786033,-0.14112775,1.6865851,-1.9207278,0.31314848,0.43529999,0.02145999,0.30837444,0.22992021,0.59073728,-0.37458336,0.60681261,0.25401333,-1.9112108,1.7768559,1.1304515,-0.55848737,0.40284624,0.02007734,1.4829747,-0.4982674,0.94842203,1.6623411,-0.064381072,0.46520921,0.29547487,-0.45864802,1.4016095,0.55013622,-0.51385416,0.29585089,0.76110756,1,0.2668418,0,0.96374035,11.320884,-27.415539,-53.619366,53.874328,10.002854,0.68549317,7.3443061,-11.965259,8.1139087,56.757836,-17.839676,0.6413274,-15.916079,53.099907,14.860107,-14.650523,17.572917,9.4503195,9.8567532,-9.0380329,-2.8647294,-6.873362,2.4680616,1.4861008,3.0940211,2.378666,-8.7037547,7.670917,1.1735543,7.0378506,3.8318941,1.8717861,2.0060264,6.0264497,-1.709337,3.9858492,11.320884,-27.415539,-53.619366,53.874328,10.002854,0.68549317,7.3443061,-11.965259,8.1139087,56.757836,-17.839676,0.6413274,-15.916079,53.099907,14.860107,-14.650523,17.572917,9.4503195,9.8567532,-9.0380329,-2.8647294,-6.873362,2.4680616,1.4861008,3.0940211,2.378666,-8.7037547,7.670917,1.1735543,7.0378506,3.8318941,1.8717861,2.0060264,6.0264497,-1.709337,3.9858492,-23.256808,244.37126,1,0.2668418,0.2668418,1,0.2668418
-898.74024,0.98769471,0.094803007,6,63,0,925.42782,7.5443348,287.34958,25.19372,26.941784,7.0662053,-0.087025555,1.8049441,-1.8507282,-0.28734693,-1.1515786,-0.51315522,0.14198404,0.039971625,1.4183709,-0.79873911,0.57168576,-0.38572877,1.1404311,-0.52049642,-0.43828917,0.5659586,-0.056622305,-1.052828,0.90208318,1.5624633,-1.2251517,0.95762948,-0.39340369,1.5219058,1.1379432,-0.97980523,0.23178089,1.3235747,0.067368491,0.47523113,-0.4912066,0.98421979,-0.45874596,0.64091549,0.23885265,0.28765492,1,0.30890836,0,0.95109181,-2.3446237,-49.861919,-31.025582,3.8253032,38.213442,15.402234,30.725249,-11.808292,-1.5255059,24.30373,-33.007771,-10.598997,30.65822,6.2445906,1.8150273,-13.233982,-12.359434,6.4351164,11.940365,-5.9709345,-5.9623933,0.57855787,-2.2719799,-1.3444513,-1.008709,2.8468851,-7.1992424,12.469782,3.761581,9.3694095,-4.100975,9.4011626,3.3408957,5.5423467,3.3059878,2.4545865,-2.3446237,-49.861919,-31.025582,3.8253032,38.213442,15.402234,30.725249,-11.808292,-1.5255059,24.30373,-33.007771,-10.598997,30.65822,6.2445906,1.8150273,-13.233982,-12.359434,6.4351164,11.940365,-5.9709345,-5.9623933,0.57855787,-2.2719799,-1.3444513,-1.008709,2.8468851,-7.1992424,12.469782,3.761581,9.3694095,-4.100975,9.4011626,3.3408957,5.5423467,3.3059878,2.4545865,-23.191941,253.40007,1,0.30890836,0.30890836,1,0.30890836
-903.00534,0.93078702,0.094803007,6,63,0,924.72105,12.361087,301.64211,25.154825,24.309978,5.1573092,0.39334714,1.467461,-2.1174801,-1.3483871,-1.9515408,-0.90082078,0.83143087,-1.0081474,1.5668403,-1.5579749,0.19254471,-0.38550459,0.99560355,-0.32960799,1.0883357,-0.6768447,0.037615828,-2.2374197,1.6750938,1.4916371,-0.95701418,0.083444648,-0.99883528,1.4451763,0.0089886066,-0.27856988,0.97091847,0.66328947,0.72246581,-0.64235486,-1.8877193,1.5004397,-0.18639153,-0.46396235,0.66772969,-0.28360334,1,0.030225215,0,0.99954311,9.5622605,-51.475894,-47.441915,20.212066,38.089854,4.6807578,24.203101,26.457416,0.91443995,40.721493,-23.264994,-24.281664,0.21851283,23.603007,17.563128,-45.890416,-4.5311741,16.232494,7.6260076,-7.2809465,-4.9478964,-5.0673483,-7.7870468,-1.957244,-1.5439182,-3.319452,-11.52793,7.9504339,0.28097312,7.2941165,-1.4346135,3.5705735,-3.1986905,7.4404371,-2.420759,-1.3578757,9.5622605,-51.475894,-47.441915,20.212066,38.089854,4.6807578,24.203101,26.457416,0.91443995,40.721493,-23.264994,-24.281664,0.21851283,23.603007,17.563128,-45.890416,-4.5311741,16.232494,7.6260076,-7.2809465,-4.9478964,-5.0673483,-7.7870468,-1.957244,-1.5439182,-3.319452,-11.52793,7.9504339,0.28097312,7.2941165,-1.4346135,3.5705735,-3.1986905,7.4404371,-2.420759,-1.3578757,-23.046374,246.01722,1,0.030225215,0.030225215,1,0.030225215
