# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = model_3b9369c454f7cc33f5312782bdce604d_model
# start_datetime = 2026-07-24 07:19:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/gw/hc72by314msbfbhm58gh0fgc0000gn/T/Rtmp7fDTmz/standata-15efa43fc8d.json
# init = 2 (Default)
# random
#   seed = 2129199876
# output
#   file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-202607240919-1-36d616.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/corrado/_repositories/utet-companion/_cmdstan_output/generalizzazione/model_3b9369c454f7cc33f5312782bdce604d-profile-202607240919-1-1e4d65.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --name=model_3b9369c454f7cc33f5312782bdce604d_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,Intercept,sigma,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.804768
# Diagonal elements of inverse mass matrix:
# 1.83433, 12.0367, 0.00328707
-805.84132,0.6412719,0.80476788,3,7,0,809.01478,11.615655,303.87359,53.198237,-14.89594,251.60315
-807.731,0.86146867,0.80476788,2,3,0,808.72787,13.871806,301.44546,52.642502,-14.916126,239.02234
-805.2866,0.99993016,0.80476788,2,7,0,808.41208,11.920693,308.25498,47.577133,-14.790164,254.61186
-806.24424,0.84858802,0.80476788,2,3,0,807.6918,9.8779439,311.21028,48.124051,-14.77924,266.75954
-806.4097,0.9290078,0.80476788,3,7,0,807.96896,12.057641,295.99421,49.192892,-14.821698,241.73482
-804.43007,1,0.80476788,2,3,0,806.26533,10.56026,300.4158,48.509129,-14.788414,252.89463
-806.58343,0.75970252,0.80476788,2,3,0,807.23457,11.029216,311.21636,51.47093,-14.859556,261.58489
-807.23611,0.93607135,0.80476788,2,7,0,808.47893,9.9227169,313.00905,48.115968,-14.781749,268.35682
-805.8688,1,0.80476788,2,3,0,807.21482,10.212415,310.47018,47.194093,-14.763572,264.51431
-805.61684,0.96701535,0.80476788,2,3,0,806.92794,9.1164581,308.14052,49.775021,-14.801254,267.11646
-804.9522,0.98007171,0.80476788,2,7,0,806.23672,9.0823824,302.74244,49.554372,-14.793559,261.87172
-804.93093,0.94597495,0.80476788,2,3,0,806.13612,9.4610608,302.2352,45.793769,-14.722122,259.66043
-804.55405,0.99858218,0.80476788,2,7,0,805.29704,10.873887,307.05846,47.574921,-14.775947,258.12597
-805.22507,0.93504286,0.80476788,2,7,0,805.64017,8.6766877,302.70626,48.172428,-14.761907,263.66117
