"file","riga","tipo","n_righe","codice","formula","collassato","proposta","contenuto"
"chapters/appendix/a00_glossary.qmd",12,"note",3,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Come usare questo glossario {.unnumbered .unlisted} Questo glossario non è pensato per essere letto dall'inizio alla fine. È una pagina di consultazione rapi"
"chapters/appendix/a00_glossary.qmd",308,"tip",4,FALSE,FALSE,FALSE,"dare un titolo","## Cosa portare con sé {.unnumbered .unlisted} - Un termine statistico non è solo una definizione: è un modo di prendere una decisione nel percorso di analisi. "
"chapters/appendix/a40_troubleshooting.qmd",3,"note",3,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Come usare questa appendice {.unnumbered .unlisted} Questa appendice &egrave; una guida di pronto intervento. Non introduce nuovi concetti statistici e non s"
"chapters/appendix/a40_troubleshooting.qmd",26,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Regola pratica {.unnumbered .unlisted} Non correggere un problema computazionale cambiando subito la domanda scientifica, e non correggere un problema teoric"
"chapters/appendix/a40_troubleshooting.qmd",91,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Attenzione ai nomi simili {.unnumbered .unlisted} Molti errori derivano da piccoli cambiamenti nei nomi: `fit`, `fits`, `fit1`; `data`, `dat`, `stan_data`; `"
"chapters/appendix/a40_troubleshooting.qmd",181,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Prima di cambiare il modello {.unnumbered .unlisted} Se CmdStan non &egrave; configurato correttamente, nessun modello Stan funzioner&agrave;. In questo caso"
"chapters/appendix/a40_troubleshooting.qmd",245,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Stan distingue maiuscole e minuscole {.unnumbered .unlisted} `N` e `n` sono due nomi diversi. Lo stesso vale per `Y`, `y`, `sigma_y` e `sigmaY`. Questa disti"
"chapters/appendix/a40_troubleshooting.qmd",284,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Controlla i dati prima di controllare Stan {.unnumbered .unlisted} Molti errori attribuiti a Stan derivano in realt&agrave; da dati con `NA`, valori fuori sc"
"chapters/appendix/a40_troubleshooting.qmd",342,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Non nascondere le divergenze {.unnumbered .unlisted} Un modello con divergenze non dovrebbe essere presentato come se fosse pienamente affidabile. Se il prob"
"chapters/appendix/a40_troubleshooting.qmd",381,"note",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Aumentare `max_treedepth` non corregge il modello {.unnumbered .unlisted} Pu&ograve; permettere all'algoritmo di lavorare pi&ugrave; a lungo, ma se la geomet"
"chapters/appendix/a40_troubleshooting.qmd",419,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Guarda le catene, non solo la tabella {.unnumbered .unlisted} Un valore numerico pu&ograve; segnalare un problema, ma i trace plot aiutano a capire se le cat"
"chapters/appendix/a40_troubleshooting.qmd",477,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## BFMI non &egrave; un dettaglio secondario {.unnumbered .unlisted} Se BFMI &egrave; problematico, il campionatore potrebbe non esplorare correttamente parti i"
"chapters/appendix/a40_troubleshooting.qmd",505,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Domanda guida {.unnumbered .unlisted} Prima dei dati, il modello riesce a immaginare dati che potrebbero davvero provenire da uno studio psicologico come que"
"chapters/appendix/a40_troubleshooting.qmd",539,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Non basta stimare bene un modello sbagliato {.unnumbered .unlisted} Un modello pu&ograve; avere diagnostiche MCMC accettabili e allo stesso tempo descrivere "
"chapters/appendix/a40_troubleshooting.qmd",648,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Per la psicologia {.unnumbered .unlisted} Molti dati psicologici sono gerarchici anche quando il dataset appare come una tabella piatta. Ignorare questa stru"
"chapters/appendix/a40_troubleshooting.qmd",692,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Le prove rapide non sono risultati finali {.unnumbered .unlisted} Poche iterazioni possono servire per diagnosticare errori di codice o struttura, ma non per"
"chapters/appendix/a40_troubleshooting.qmd",727,"important",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Il computer pu&ograve; eseguire un modello poco utile {.unnumbered .unlisted} L'assenza di errori non garantisce che l'analisi sia scientificamente valida. U"
"chapters/appendix/a40_troubleshooting.qmd",812,"note",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Perch&eacute; questa strategia funziona {.unnumbered .unlisted} Un modello complesso pu&ograve; fallire per molte ragioni simultanee. Un modello minimo aiuta"
"chapters/appendix/a40_troubleshooting.qmd",827,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Domanda finale {.unnumbered .unlisted} Dopo avere risolto il problema tecnico, chiediti sempre: **il modello che ora funziona risponde davvero alla domanda p"
"chapters/appendix/a52_reglin_frequentist.qmd",23,"tip",5,FALSE,FALSE,TRUE,"dare un titolo","## Prerequisiti - Leggere il capitolo *Basic Regression* di [Statistical Inference via Data Science: A ModernDive into R and the Tidyverse (Second Edition)](htt"
"chapters/appendix/a60_bayesian_workflow_checklist.qmd",3,"note",4,FALSE,FALSE,FALSE,"dare un titolo","## Come usare questa checklist {.unnumbered .unlisted} Questa appendice non introduce nuovi concetti. Serve come **strumento di lavoro**: puoi usarla mentre cos"
"chapters/appendix/a60_bayesian_workflow_checklist.qmd",51,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Segnale di buona formulazione {.unnumbered .unlisted} Una domanda è pronta per il modelling quando può essere tradotta in una quantità stimabile: una media, "
"chapters/appendix/a60_bayesian_workflow_checklist.qmd",94,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Attenzione {.unnumbered .unlisted} Un modello più complesso non è automaticamente migliore. Può rappresentare meglio il fenomeno, ma può anche introdurre par"
"chapters/appendix/a60_bayesian_workflow_checklist.qmd",136,"tip",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Criterio pratico {.unnumbered .unlisted} Se il prior predictive check produce sistematicamente dati che nessun ricercatore del settore considererebbe plausib"
"chapters/appendix/a60_bayesian_workflow_checklist.qmd",195,"warning",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Un buon fit non basta {.unnumbered .unlisted} Un modello può riprodurre alcuni aspetti dei dati e fallire su altri. Il posterior predictive check va interpre"
"chapters/appendix/a60_bayesian_workflow_checklist.qmd",235,"note",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Ricorda {.unnumbered .unlisted} La scelta tra modelli non è solo una questione numerica. Un modello può essere preferibile perché predice meglio, perché espr"
"chapters/appendix/a60_bayesian_workflow_checklist.qmd",305,"important",2,FALSE,FALSE,FALSE,"valuta se riportarlo a testo","## Integrità come ispezionabilità {.unnumbered .unlisted} L'integrità della ricerca non riguarda soltanto la condotta etica in senso stretto. Riguarda anche la "
