"categoria","file","riga","testo"
"callout-note","chapters/appendix/a00_glossary.qmd",12,"::: {.callout-note}"
"callout-tip","chapters/appendix/a00_glossary.qmd",308,"::: {.callout-tip}"
"callout-note","chapters/appendix/a40_troubleshooting.qmd",3,"::: {.callout-note}"
"callout-note","chapters/appendix/a40_troubleshooting.qmd",381,"::: {.callout-note}"
"callout-note","chapters/appendix/a40_troubleshooting.qmd",812,"::: {.callout-note}"
"callout-tip","chapters/appendix/a40_troubleshooting.qmd",26,"::: {.callout-tip}"
"callout-tip","chapters/appendix/a40_troubleshooting.qmd",181,"::: {.callout-tip}"
"callout-tip","chapters/appendix/a40_troubleshooting.qmd",284,"::: {.callout-tip}"
"callout-tip","chapters/appendix/a40_troubleshooting.qmd",419,"::: {.callout-tip}"
"callout-tip","chapters/appendix/a40_troubleshooting.qmd",505,"::: {.callout-tip}"
"callout-tip","chapters/appendix/a40_troubleshooting.qmd",648,"::: {.callout-tip}"
"callout-tip","chapters/appendix/a40_troubleshooting.qmd",827,"::: {.callout-tip}"
"callout-important","chapters/appendix/a40_troubleshooting.qmd",727,"::: {.callout-important}"
"callout-warning","chapters/appendix/a40_troubleshooting.qmd",91,"::: {.callout-warning}"
"callout-warning","chapters/appendix/a40_troubleshooting.qmd",245,"::: {.callout-warning}"
"callout-warning","chapters/appendix/a40_troubleshooting.qmd",342,"::: {.callout-warning}"
"callout-warning","chapters/appendix/a40_troubleshooting.qmd",477,"::: {.callout-warning}"
"callout-warning","chapters/appendix/a40_troubleshooting.qmd",539,"::: {.callout-warning}"
"callout-warning","chapters/appendix/a40_troubleshooting.qmd",692,"::: {.callout-warning}"
"titolo-numerato-a-mano","chapters/appendix/a40_troubleshooting.qmd",761,"### 1. Ambiente"
"titolo-numerato-a-mano","chapters/appendix/a40_troubleshooting.qmd",769,"### 2. File e dati"
"titolo-numerato-a-mano","chapters/appendix/a40_troubleshooting.qmd",777,"### 3. Modello Stan"
"titolo-numerato-a-mano","chapters/appendix/a40_troubleshooting.qmd",785,"### 4. Sampling"
"titolo-numerato-a-mano","chapters/appendix/a40_troubleshooting.qmd",793,"### 5. Modello e interpretazione"
"callout-note","chapters/appendix/a41_install_cmdstan.qmd",37,"::: {.callout-note}"
"callout-note","chapters/appendix/a41_install_cmdstan.qmd",151,"::: {.callout-note title=""Cosa significa `cores = 2`?""}"
"callout-tip","chapters/appendix/a41_install_cmdstan.qmd",3,"::: {.callout-tip title=""Non preoccuparti!""}"
"callout-tip","chapters/appendix/a41_install_cmdstan.qmd",241,"::: {.callout-tip tite=""Suggerimento""}"
"callout-warning","chapters/appendix/a41_install_cmdstan.qmd",124,"::: {.callout-warning title=""Se ricevi un errore""}"
